activity_period,operating_airline,operating_airline_iata,published_airline,published_airline_iata,geo_summary,geo_region,activity_type,price_category,terminal,boarding_area,passenger_count
201703,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,5049
201703,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,11035
201703,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,11261
201703,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,30413
201703,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,35429
201703,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10161
201703,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,10018
201703,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,8789
201703,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,9725
201703,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Other,International,G,6152
201703,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Other,International,G,4486
201703,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,9098
